"time","S","V1","V2","E","Ev","I1","I2","I3","I4","Ia","Rc","Rcp","Ra","BH","BL","CDc","CInc","CRD","CRInc","temperature","rainfall","n","beta_e","beta_e0","lam_e","lam_h","u","P","rho1.rho1","rho2.rho2","HYG","SAN","CWA","e_inc","h_inc","I","R"
40,17692002.5403329,0,0,437.748859759382,0,11.5359896482967,29.5796632284035,107.241679033475,34.2973678061656,156.018623911078,1854.11324550965,10.5917857004409,5339.66780912409,14948598203.3104,5782158800.25836,16.6646433491766,8633.00210900658,5.83262517221179,481.072836612569,21.4950465427135,103656.124931931,0.227402863753429,9.3252499485343e-06,0.00019,9.30915016558615e-06,4.39999579511858e-06,15585404360.6435,17699983.3353566,0,0,1,1,1,164.697508377891,77.8447367846921,338.673323627419,7204.37284033418
41,17691783.2964522,0,0,462.378253703048,0,12.0972857648629,31.0099809775287,112.417070109663,35.8380702226263,164.517951465075,1900.59793797751,11.1256188135308,5469.63608975857,15625507840.4764,5934084508.36447,17.0852889991501,8882.59972246432,5.97985114970254,493.269426470409,21.5138165503042,105044.528812686,0.23129363165853,1.01331079665689e-05,0.00019,1.01160605844997e-05,4.39999597727728e-06,16342490165.8812,17699982.914711,0,0,1,1,1,178.97115167475,77.843775335251,355.880358539755,7381.3596465496
42,17691550.0486687,0,0,488.960881513977,0,12.7176728868863,32.5922113503026,118.143636318981,37.5629259246718,173.752346569405,1949.3001243523,11.6727844177267,5607.72181132677,16382498138.3887,6106523348.11277,17.5269365885049,9146.95492482613,6.1344278059767,506.073680681522,21.5327316079865,106527.094703403,0.235214466479617,1.09957551823265e-05,0.00019,1.09777780496377e-05,4.3999961631561e-06,17179461912.3558,17699982.4730634,0,0,1,1,1,194.213909788343,77.8427523344265,374.768793050247,7568.69472009679
43,17691301.8778235,0,0,517.488768659132,0,13.3969736512852,34.3259056103514,124.419759838249,39.4714655152395,183.71904849188,2000.46327010377,12.23394764657,5754.61134760573,17219360190.282,6298339479.18209,17.9916893863325,9427.03446819693,6.29709128521637,519.546647219686,21.5517859540507,108103.37100015,0.239164173892424,1.19129288251087e-05,0.00019,1.18940444120799e-05,4.39999634962681e-06,18096080862.1036,17699982.0083106,0,0,1,1,1,210.421130242345,77.8416636825693,395.333153107005,7767.30856535607
44,17691037.8733637,0,0,547.953273227718,0,14.1349902442779,36.2105616504883,131.243627771849,41.5631504375387,194.415070804834,2054.33007373717,12.8098428737217,5910.98440149481,18135855341.3147,6508214257.99785,18.4816440498639,9723.80030771221,6.46857541745238,533.749183173243,21.5709737843584,109772.877553897,0.243141550777809,1.2884349514939e-05,0.00019,1.28645828288422e-05,4.39999653409822e-06,19092080509.1695,17699981.5183559,0,0,1,1,1,227.587822050072,77.8405053274005,417.567400908988,7978.12431810571
45,17690757.1338202,0,0,580.345063466748,0,14.9315042957341,38.2456239033864,138.613232148174,43.8373761838489,205.837173173658,2111.14236046423,13.4012749113045,6077.51368148436,19131716935.6232,6734670588.55862,18.998889754229,10038.2091679621,6.64961141398014,548.741929407825,21.5902892541106,111535.105816775,0.247145385588244,1.39097213476648e-05,0.00019,1.38890980701229e-05,4.39999671450837e-06,20167166462.4902,17699981.0011102,0,0,1,1,1,245.708660766356,77.8392732659743,441.464909704801,8202.0573168599
46,17690458.7668982,0,0,614.654166006678,0,15.7862769429622,40.4304837449216,146.526371768818,46.2934745611556,217.981849921135,2171.14101252686,14.0091170137755,6254.86484168428,20206651104.2686,6976120642.43961,19.5455076011915,10371.2123195021,6.84092766041704,564.585293294774,21.609726479628,113389.518996984,0.251174458716859,1.4988731985093e-05,0.00019,1.49672769705689e-05,4.3999968892867e-06,21321016567.5907,17699980.4544924,0,0,1,1,1,264.777996100594,77.8379635444067,467.018456938992,8440.01497122492
47,17690141.8898103,0,0,650.869942504575,0,16.6990493314796,42.7644808342133,154.980657195175,48.9307129897558,230.845357465482,2234.56588238134,14.6343109822083,6443.69622617208,21360336004.63,7230900895.41312,20.123569869161,10723.7552303733,7.04324945420633,581.339426903398,21.6292795401435,115335.552222306,0.255227542868949,1.61210527501308e-05,0.00019,1.60987888730484e-05,4.39999705729813e-06,22553281593.8982,17699979.8764301,0,0,1,1,1,284.789859418324,77.8365722583514,494.220257816106,8692.89641953563
48,17689805.6298666,0,0,688.981090074035,0,17.6695422070501,45.2469021235854,163.973507282613,51.7482917271911,244.423722639914,2301.65567008006,15.2778689713537,6644.65839931801,22592420910.8056,7497316704.04663,20.7351389512851,11096.7770497108,7.25729863294978,599.064196166492,21.6489424796055,117372.612712167,0.259303403435819,1.7306338726904e-05,0.00019,1.72832860978367e-05,4.39999721777921e-06,23863584693.6715,17699979.264861,0,0,1,1,1,305.737971716106,77.8350955544681,523.061965980353,8961.59193836943
49,17689449.1240223,0,0,728.975714091885,0,18.6974570277308,47.8769848481395,173.502160216692,54.7453541211822,258.712701811013,2372.64792356931,15.9408682697159,6858.39454634103,23902530659.2039,7773685900.41845,21.3822674028424,11491.2107597037,7.48379359099483,617.819182160831,21.6687093084921,119500.07995821,0.263400798870854,1.8544228865822e-05,0.00019,1.85204043833043e-05,4.39999737027404e-06,25251522920.3049,17699978.6177326,0,0,1,1,1,327.61575109478,77.8335296272946,553.534658024758,9246.98333818006
